tree,K,distribution,iteration,size,insert,lookup,remove
16std::set,16,cluster,1,1024,71.875,10.57,48.8281
16std::set,16,cluster,1,2048,75.5371,19.34,41.0645
16std::set,16,cluster,1,4096,80.6396,20.63,52.9541
16std::set,16,cluster,1,8192,81.6284,34.3,60.7788
16std::set,16,cluster,1,16384,72.3938,58.23,46.7407
16std::set,16,cluster,2,32,134.375,6.94,93.75
16std::set,16,cluster,2,64,87.5,12.74,335.938
16std::set,16,cluster,2,128,84.375,8.93,68.75
16std::set,16,cluster,2,256,79.6875,16.87,53.125
16std::set,16,cluster,2,512,106.25,11.48,36.9141
16std::set,16,cluster,2,1024,85.6445,19.04,35.0586
16std::set,16,cluster,2,2048,76.709,24.24,49.3164
16std::set,16,cluster,2,4096,68.5303,30.98,51.8555
16std::set,16,cluster,2,8192,69.397,43.27,58.5205
16std::set,16,cluster,2,16384,75.1953,63.57,46.8445
16std::set,16,cluster,3,32,112.5,5.62,90.625
16std::set,16,cluster,3,64,82.8125,7,64.0625
16std::set,16,cluster,3,128,59.375,13.15,52.3438
16std::set,16,cluster,3,256,98.0469,7.68,37.5
16std::set,16,cluster,3,512,52.5391,18.79,43.75
16std::set,16,cluster,3,1024,51.4648,10.3,41.6016
16std::set,16,cluster,3,2048,54.9316,15.34,119.873
16std::set,16,cluster,3,4096,84.6924,28.93,58.3496
16std::set,16,cluster,3,8192,55.5786,36.67,46.7041
16std::set,16,cluster,3,16384,50.3113,56.8,44.4519
16std::set,16,cluster,4,32,115.625,6.63,87.5
16std::set,16,cluster,4,64,79.6875,6.95,67.1875
16std::set,16,cluster,4,128,58.5938,15.38,53.125
16std::set,16,cluster,4,256,52.3438,17.33,44.9219
16std::set,16,cluster,4,512,60.9375,18.99,57.8125
16std::set,16,cluster,4,1024,71.7773,20.96,49.707
16std::set,16,cluster,4,2048,66.6504,24,45.7031
16std::set,16,cluster,4,4096,72.0703,29.83,49.1699
16std::set,16,cluster,4,8192,57.8491,35.7,42.4561
16std::set,16,cluster,4,16384,68.8171,90.08,55.3223
16std::set,16,cluster,5,32,115.625,5.87,87.5
16std::set,16,cluster,5,64,75,6.09,62.5
16std::set,16,cluster,5,128,57.0312,6.97,44.5312
16std::set,16,cluster,5,256,102.734,8.12,35.1562
16std::set,16,cluster,5,512,70.7031,9.56,32.8125
16std::set,16,cluster,5,1024,53.418,21.68,55.3711
16std::set,16,cluster,5,2048,69.0918,24.89,50.0488
